mode,n_qubits,n_threads,mean_ms,std_ms,speedup_vs_baseline,peak_memory_mb,final_rank,status
iterative_compression,14,4,156515.55336666448,30699.43558849698,2.452142141432311,40.108032,153.66666666666666,ok
iterative_compression,14,8,119778.62793333286,17212.0456944543,3.2042309285226804,40.108032,153.66666666666666,ok
iterative_compression,14,16,128467.77136666545,24496.885648893098,2.9875071398614064,40.108032,153.66666666666666,ok
full_opt,14,1,419268.50496669067,92485.37802886267,0.9153999874865085,40.108032,153.66666666666666,ok
full_opt,14,2,230089.37433330962,41365.836110354045,1.6680404530285777,40.108032,153.66666666666666,ok
full_opt,14,4,150673.05256668865,27098.380280344445,2.5472264460171115,40.108032,153.66666666666666,ok
full_opt,14,8,120209.16139999947,17272.118637255175,3.192754859364633,40.108032,153.66666666666666,ok
full_opt,14,16,125894.85793333733,26221.593093858297,3.04856282854079,40.108032,153.66666666666666,ok
baseline,16,1,2808507.7865333487,588915.6117811897,1.0691525553170667,199.22944,190.66666666666666,ok
baseline,16,2,1571958.6406666785,318557.9525010969,1.9101795676548672,199.22944,190.66666666666666,ok
baseline,16,4,961305.5212333371,192901.25234496905,3.1235889218108004,199.22944,190.66666666666666,ok
baseline,16,8,666031.4296000093,103106.59514221267,4.50838075074523,199.22944,190.66666666666666,ok
baseline,16,16,705538.4640666695,144732.06047921037,4.255931362398788,199.22944,190.66666666666666,ok
iterative_compression,16,1,2868170.5291333296,488649.27778437926,1.046912394538597,199.22944,190.66666666666666,ok
iterative_compression,16,2,1614905.9676999848,338915.2173244545,1.8593796398415756,199.22944,190.66666666666666,ok
iterative_compression,16,4,951974.9199333406,160884.63282424436,3.154204185137846,199.22944,190.66666666666666,ok
iterative_compression,16,8,655325.4857333183,116098.71499953732,4.5820334199881145,199.22944,190.66666666666666,ok
iterative_compression,16,16,671802.781900003,110388.18961200013,4.46964995903658,199.22944,190.66666666666666,ok
full_opt,16,1,2950167.271866657,646454.9557228031,1.0178145846964461,199.22944,190.66666666666666,ok
full_opt,16,2,1580904.4110000057,327364.5618981558,1.899370547458102,199.22944,190.66666666666666,ok
full_opt,16,4,959929.7595333192,203999.14314299903,3.128065618113368,199.22944,190.66666666666666,ok
full_opt,16,8,678824.0759333324,122961.6155952,4.423418943223969,199.22944,190.66666666666666,ok
full_opt,16,16,668107.8283333336,84508.48177210335,4.494369245890477,199.22944,190.66666666666666,ok
baseline,18,1,17883495.85496665,4212198.482450656,1.3128541783948529,905.969664,216.33333333333334,ok
baseline,18,2,9349126.230433311,2183656.3527335883,2.51129588785238,905.969664,216.33333333333334,ok
baseline,18,4,5585255.943433323,1263549.4967081759,4.2036430371832765,905.969664,216.33333333333334,ok
baseline,18,8,3710230.4835999967,725281.1401814237,6.328022574683592,905.969664,216.33333333333334,ok
baseline,18,16,3701826.009399975,763291.2711805586,6.342389458035493,905.969664,216.33333333333334,ok
